"Date","Monthly 1 month growth rate of monetary financial institutions' sterling and all foreign currency M3 (UK estimate of EMU aggregate) liabilities to private and public sectors (in percent) seasonally adjusted                          LPMVWYP"
"31 Dec 23","1.2"
"30 Nov 23","0.8"
"31 Oct 23","-0.9"
"30 Sep 23","-0.4"
"31 Aug 23","0.4"
"31 Jul 23","-0.5"
"30 Jun 23","0.3"
"31 May 23","0.3"
"30 Apr 23","-0.5"
"31 Mar 23","-0.5"
"28 Feb 23","-0.4"
"31 Jan 23","1"
"31 Dec 22","-0.8"
"30 Nov 22","-0.9"
"31 Oct 22","-0.9"
"30 Sep 22","2.7"
"31 Aug 22","0"
"31 Jul 22","0.3"
"30 Jun 22","0.4"
"31 May 22","-0.4"
"30 Apr 22","-0.5"
"31 Mar 22","0.6"
"28 Feb 22","1.4"
"31 Jan 22","-0.3"
"31 Dec 21","0.1"
"30 Nov 21","0.7"
"31 Oct 21","0.2"
"30 Sep 21","1.7"
"31 Aug 21","0.5"
"31 Jul 21","0.1"
"30 Jun 21","0.5"
"31 May 21","0.6"
"30 Apr 21","0.6"
"31 Mar 21","0.8"
"28 Feb 21","0.8"
"31 Jan 21","0.7"
"31 Dec 20","1.8"
"30 Nov 20","0.5"
"31 Oct 20","0.5"
"30 Sep 20","0.6"
"31 Aug 20","-0.5"
"31 Jul 20","1.2"
"30 Jun 20","0.8"
"31 May 20","0.9"
"30 Apr 20","0.9"
"31 Mar 20","5"
"29 Feb 20","0.6"
"31 Jan 20","0.6"
"31 Dec 19","0.4"
"30 Nov 19","0.7"
"31 Oct 19","0.2"
"30 Sep 19","-0.1"
"31 Aug 19","0.5"
"31 Jul 19","0.5"
"30 Jun 19","0.2"
"31 May 19","-0.3"
"30 Apr 19","0.3"
"31 Mar 19","-0.1"
"28 Feb 19","-0.6"
"31 Jan 19","-0.6"
"31 Dec 18","0.7"
"30 Nov 18","-0.1"
"31 Oct 18","1"
"30 Sep 18","0.6"
"31 Aug 18","0.1"
"31 Jul 18","-0.1"
"30 Jun 18","-0.2"
"31 May 18","1.1"
"30 Apr 18","-0.3"
"31 Mar 18","-1"
"28 Feb 18","-0.3"
"31 Jan 18","1.4"
"31 Dec 17","-0.1"
"30 Nov 17","0.1"
"31 Oct 17","0.4"
"30 Sep 17","0.7"
"31 Aug 17","0.8"
"31 Jul 17","-0.1"
"30 Jun 17","0.3"
"31 May 17","-0.4"
"30 Apr 17","1"
"31 Mar 17","0.8"
"28 Feb 17","0.9"
"31 Jan 17","0.6"
"31 Dec 16","0.2"
"30 Nov 16","0.5"
"31 Oct 16","0.3"
"30 Sep 16","0.5"
"31 Aug 16","0.6"
"31 Jul 16","0.8"
