Year and Month,CPI,Interest rate,GDP growth,Total pay nominal,Unemployment,USD/GBP,M3 growth,Brent,12 Month MA - current
2001-03-01,0.9,5.75,1.6,6.1,5.0,1.4454,2.5,24.5,
2001-04-01,1.2,5.5,1.6,6.2,4.9,1.435,0.6,25.66,
2001-05-01,1.7,5.25,0.4,5.1,5.0,1.4259,0.1,28.31,
2001-06-01,1.7,5.25,0.4,5.5,5.0,1.4014,0.5,27.85,
2001-07-01,1.4,5.25,0.5,5.2,5.1,1.4139,1.2,24.61,
2001-08-01,1.8,5.0,0.5,5.3,5.1,1.4365,1.1,25.68,
2001-09-01,1.3,4.75,0.5,4.8,5.1,1.4635,0.4,25.62,
2001-10-01,1.2,4.5,0.3,4.8,5.1,1.4517,1.3,20.54,
2001-11-01,0.8,4.0,0.3,4.6,5.2,1.4358,0.5,18.8,
2001-12-01,1.1,4.0,0.3,4.2,5.2,1.4409,0.5,18.71,
2002-01-01,1.6,4.0,0.3,3.8,5.1,1.4323,-0.2,19.42,
2002-02-01,1.5,4.0,0.3,3.2,5.2,1.4231,0.5,20.28,-0.15000000000000013
2002-03-01,1.5,4.0,0.3,3.0,5.2,1.4225,0.6,23.7,-0.09999999999999987
2002-04-01,1.4,4.0,0.5,3.0,5.2,1.4434,0.1,25.73,0.01666666666666683
2002-05-01,0.8,4.0,0.5,3.3,5.2,1.4593,0.7,25.35,0.5416666666666665
2002-06-01,0.6,4.0,0.5,3.7,5.2,1.4863,-0.2,24.08,0.65
2002-07-01,1.1,4.0,0.7,3.8,5.2,1.5546,0.6,25.74,0.12499999999999978
2002-08-01,1.0,4.0,0.7,3.6,5.3,1.5377,1.1,26.65,0.15833333333333344
2002-09-01,1.0,4.0,0.7,3.4,5.2,1.5561,1.1,28.4,0.1333333333333333
2002-10-01,1.4,4.0,0.8,3.1,5.2,1.5574,0.7,27.54,-0.24999999999999978
2002-11-01,1.5,4.0,0.8,3.0,5.1,1.5723,0.5,24.34,-0.29166666666666674
2002-12-01,1.7,4.0,0.8,2.8,5.0,1.5863,0.0,28.33,-0.44166666666666665
2003-01-01,1.3,4.0,0.7,2.5,5.1,1.6169,-0.2,31.18,-0.06666666666666665
2003-02-01,1.6,3.75,0.7,2.2,5.2,1.6085,1.0,32.77,-0.3583333333333334
2003-03-01,1.5,3.75,0.7,2.8,5.1,1.5836,0.0,30.61,-0.2583333333333335
2003-04-01,1.4,3.75,0.9,3.0,5.0,1.5747,1.0,25.0,-0.15833333333333321
2003-05-01,1.3,3.75,0.9,3.3,4.9,1.623,0.4,25.86,-0.016666666666666607
2003-06-01,1.1,3.75,0.9,2.7,5.1,1.6606,2.0,27.65,0.22499999999999987
2003-07-01,1.3,3.5,0.9,2.7,5.1,1.6242,0.5,28.35,0.04166666666666674
